frame,class,confidence,center_x,center_y,left,top,width,height,frame_width,frame_height
233,  truck,0.804,370.000,398.000,304,369,132,58,1280,720
234,  truck,0.785,370.000,398.500,303,369,134,59,1280,720
235,  truck,0.861,371.500,394.500,304,365,135,59,1280,720
236,  truck,0.834,368.500,392.500,304,363,129,59,1280,720
237,  truck,0.708,369.500,389.500,304,359,131,61,1280,720
239,  truck,0.690,372.500,381.500,304,351,137,61,1280,720
240,  truck,0.823,371.500,378.000,304,348,135,60,1280,720
241,  truck,0.763,372.500,374.500,304,344,137,61,1280,720
242,  truck,0.816,373.000,377.000,303,346,140,62,1280,720
243,  truck,0.789,372.000,373.500,303,344,138,59,1280,720
244,  truck,0.830,374.500,356.000,306,325,137,62,1280,720
245,  truck,0.539,374.500,358.500,304,328,141,61,1280,720
246,  truck,0.587,373.000,362.000,303,332,140,60,1280,720
247,  truck,0.607,374.000,358.500,303,328,142,61,1280,720
248,  truck,0.704,374.500,357.000,303,326,143,62,1280,720
249,  truck,0.729,374.000,355.500,303,324,142,63,1280,720
250,  truck,0.650,374.000,357.000,302,326,144,62,1280,720
252,  truck,0.571,374.000,361.000,303,330,142,62,1280,720
253,  truck,0.537,374.000,363.500,302,332,144,63,1280,720
254,  bus,0.518,372.000,366.500,299,333,146,67,1280,720
256,  truck,0.538,372.500,369.500,301,338,143,63,1280,720
257,  truck,0.659,373.000,372.000,301,340,144,64,1280,720
258,  truck,0.658,372.000,372.000,301,340,142,64,1280,720
260,  bus,0.506,373.500,373.000,302,340,143,66,1280,720
260,  pedestrian,0.504,210.500,376.000,201,366,19,20,1280,720
261,  truck,0.594,374.500,373.500,302,341,145,65,1280,720
264,  pedestrian,0.515,211.000,384.500,201,374,20,21,1280,720
265,  car,0.514,376.500,373.500,304,340,145,67,1280,720
269,  truck,0.609,372.500,378.000,300,345,145,66,1280,720
270,  truck,0.604,373.000,376.000,300,343,146,66,1280,720
276,  truck,0.555,373.500,376.500,299,342,149,69,1280,720
278,  car,0.580,375.500,372.000,301,337,149,70,1280,720
279,  car,0.549,375.000,374.500,300,340,150,69,1280,720
280,  car,0.556,375.000,375.000,300,340,150,70,1280,720
282,  car,0.565,375.000,374.500,300,340,150,69,1280,720
283,  car,0.654,375.500,374.000,300,338,151,72,1280,720
284,  car,0.579,375.500,373.500,300,338,151,71,1280,720
285,  car,0.666,374.500,373.500,299,338,151,71,1280,720
286,  car,0.725,375.000,372.000,299,337,152,70,1280,720
287,  car,0.684,374.500,373.000,298,337,153,72,1280,720
288,  car,0.669,374.500,373.000,298,337,153,72,1280,720
289,  car,0.676,373.500,373.000,296,337,155,72,1280,720
290,  car,0.728,374.000,375.500,296,338,156,75,1280,720
291,  car,0.673,374.000,376.500,296,338,156,77,1280,720
292,  car,0.719,373.000,375.500,296,338,154,75,1280,720
293,  car,0.683,373.500,374.000,296,337,155,74,1280,720
294,  car,0.758,372.000,376.000,293,338,158,76,1280,720
295,  car,0.745,373.000,375.500,293,337,160,77,1280,720
296,  car,0.739,371.500,375.500,291,337,161,77,1280,720
297,  car,0.641,371.500,374.000,291,336,161,76,1280,720
298,  car,0.674,370.500,374.500,290,336,161,77,1280,720
299,  car,0.643,370.500,373.500,290,335,161,77,1280,720
300,  car,0.709,369.500,372.000,289,334,161,76,1280,720
301,  car,0.581,370.000,372.500,289,333,162,79,1280,720
302,  car,0.551,369.500,372.000,288,332,163,80,1280,720
303,  car,0.651,369.000,370.500,288,332,162,77,1280,720
304,  car,0.501,369.000,371.000,287,331,164,80,1280,720
305,  car,0.675,368.000,371.500,285,331,166,81,1280,720
306,  car,0.594,368.000,371.500,285,331,166,81,1280,720
307,  car,0.587,367.000,372.000,284,331,166,82,1280,720
308,  car,0.539,367.000,372.000,283,331,168,82,1280,720
309,  car,0.631,367.500,372.000,284,330,167,84,1280,720
311,  car,0.552,367.000,371.500,283,329,168,85,1280,720
313,  car,0.585,366.500,369.500,282,329,169,81,1280,720
314,  car,0.717,366.000,369.500,281,329,170,81,1280,720
315,  car,0.513,365.500,370.500,280,329,171,83,1280,720
316,  car,0.601,365.000,370.000,279,329,172,82,1280,720
317,  car,0.659,365.000,369.500,279,329,172,81,1280,720
318,  car,0.574,364.000,370.000,277,329,174,82,1280,720
319,  car,0.614,363.500,370.000,277,329,173,82,1280,720
320,  car,0.626,362.500,371.000,276,330,173,82,1280,720
322,  car,0.547,361.500,370.500,275,330,173,81,1280,720
323,  car,0.547,361.500,370.500,275,330,173,81,1280,720
324,  car,0.615,361.000,370.000,274,329,174,82,1280,720
325,  car,0.513,360.000,369.500,273,328,174,83,1280,720
326,  car,0.631,360.000,370.500,272,329,176,83,1280,720
327,  car,0.655,359.000,370.500,271,328,176,85,1280,720
328,  car,0.616,357.500,371.500,269,329,177,85,1280,720
329,  car,0.525,356.500,371.000,268,329,177,84,1280,720
330,  car,0.564,355.500,371.500,267,328,177,87,1280,720
332,  car,0.535,353.000,370.500,265,328,176,85,1280,720
333,  car,0.634,353.500,371.000,265,328,177,86,1280,720
363,  pedestrian,0.529,369.000,370.000,319,320,100,100,1280,720
365,  pedestrian,0.517,379.500,371.500,342,321,75,101,1280,720
383,  pedestrian,0.596,354.000,369.500,312,314,84,111,1280,720
392,  pedestrian,0.531,340.000,368.500,289,312,102,113,1280,720
393,  pedestrian,0.606,336.500,368.500,282,311,109,115,1280,720
393,  pedestrian,0.598,1242.500,372.000,1214,338,57,68,1280,720
441,  truck,0.752,157.500,357.500,34,284,247,147,1280,720
442,  truck,0.617,152.000,357.000,28,283,248,148,1280,720
443,  truck,0.681,148.500,357.000,23,283,251,148,1280,720
444,  truck,0.539,144.500,357.000,21,282,247,150,1280,720
445,  truck,0.632,141.000,358.000,19,283,244,150,1280,720
446,  truck,0.557,136.500,358.000,12,283,249,150,1280,720
447,  truck,0.646,130.500,358.000,8,282,245,152,1280,720
449,  truck,0.548,123.000,356.500,1,279,244,155,1280,720
450,  truck,0.567,121.000,356.000,0,278,242,156,1280,720
451,  truck,0.605,119.500,356.500,0,278,239,157,1280,720
454,  truck,0.521,115.500,356.000,0,274,231,164,1280,720
459,  truck,0.558,101.000,352.500,0,270,202,165,1280,720
460,  truck,0.722,98.500,353.000,0,270,197,166,1280,720
461,  truck,0.683,96.000,351.500,1,267,190,169,1280,720
462,  truck,0.625,95.000,353.000,3,269,184,168,1280,720
463,  truck,0.744,91.000,353.000,0,268,182,170,1280,720
464,  truck,0.602,88.000,352.500,0,267,176,171,1280,720
468,  truck,0.530,79.500,352.500,0,265,159,175,1280,720
469,  truck,0.740,75.500,352.500,0,264,151,177,1280,720
470,  truck,0.696,73.000,351.500,0,262,146,179,1280,720
471,  truck,0.725,71.500,352.500,0,263,143,179,1280,720
472,  truck,0.621,68.000,353.500,0,264,136,179,1280,720
473,  truck,0.621,68.000,353.500,0,264,136,179,1280,720
474,  truck,0.501,62.000,354.500,0,264,124,181,1280,720
475,  truck,0.633,60.000,354.000,0,262,120,184,1280,720
476,  truck,0.614,57.000,353.500,0,259,114,189,1280,720
478,  bus,0.527,54.000,355.000,0,261,108,188,1280,720
479,  truck,0.631,50.000,354.500,0,263,100,183,1280,720
480,  truck,0.691,47.000,354.000,0,262,94,184,1280,720
481,  truck,0.613,42.500,354.500,0,261,85,187,1280,720
482,  truck,0.623,40.000,355.000,0,261,80,188,1280,720
483,  truck,0.562,34.000,356.500,0,262,68,189,1280,720
619,  car,0.627,1222.500,384.000,1188,372,69,24,1280,720
729,  car,0.601,1016.000,384.500,994,374,44,21,1280,720
763,  pedestrian,0.544,26.500,396.000,1,354,51,84,1280,720
859,  pedestrian,0.539,28.500,392.000,9,365,39,54,1280,720
932,  pedestrian,0.624,1099.000,387.000,1081,363,36,48,1280,720
933,  pedestrian,0.579,1100.500,388.000,1084,364,33,48,1280,720
934,  pedestrian,0.658,1104.500,387.000,1087,363,35,48,1280,720
935,  pedestrian,0.731,1104.500,388.500,1087,364,35,49,1280,720
936,  pedestrian,0.520,1105.500,387.500,1090,362,31,51,1280,720
939,  pedestrian,0.670,1116.000,388.500,1100,364,32,49,1280,720
940,  pedestrian,0.650,1120.500,387.500,1105,363,31,49,1280,720
941,  pedestrian,0.727,1123.000,387.500,1106,362,34,51,1280,720
942,  pedestrian,0.685,1127.000,389.500,1110,364,34,51,1280,720
