frame,class,confidence,center_x,center_y,left,top,width,height,frame_width,frame_height
305,  bicycle,0.950,256.000,515.500,136,416,240,199,1280,720
306,  bicycle,0.976,276.500,517.500,154,417,245,201,1280,720
307,  bicycle,0.968,300.000,522.000,174,422,252,200,1280,720
308,  bicycle,0.976,322.500,526.500,192,429,261,195,1280,720
309,  bicycle,0.951,343.500,524.000,207,426,273,196,1280,720
310,  bicycle,0.973,369.000,527.000,225,425,288,204,1280,720
311,  bicycle,0.962,394.000,526.500,246,423,296,207,1280,720
312,  bicycle,0.970,421.000,531.500,269,426,304,211,1280,720
313,  bicycle,0.955,449.500,532.000,293,424,313,216,1280,720
314,  bicycle,0.876,495.500,531.500,314,422,363,219,1280,720
315,  bicycle,0.920,535.500,536.000,334,429,403,214,1280,720
316,  bicycle,0.923,571.000,536.500,365,431,412,211,1280,720
317,  bicycle,0.854,587.000,536.000,389,430,396,212,1280,720
318,  bicycle,0.955,623.500,539.500,419,433,409,213,1280,720
319,  bicycle,0.915,648.000,539.500,444,431,408,217,1280,720
320,  bicycle,0.955,665.000,539.000,477,431,376,216,1280,720
321,  bicycle,0.926,709.500,539.500,506,430,407,219,1280,720
322,  bicycle,0.920,735.000,535.500,540,423,390,225,1280,720
323,  bicycle,0.833,766.500,538.000,572,430,389,216,1280,720
324,  bicycle,0.945,786.000,537.000,606,429,360,216,1280,720
325,  bicycle,0.961,811.500,535.500,639,426,345,219,1280,720
326,  bicycle,0.960,845.500,535.500,672,426,347,219,1280,720
327,  bicycle,0.927,867.500,533.000,706,423,323,220,1280,720
328,  bicycle,0.908,896.000,523.500,736,406,320,235,1280,720
329,  bicycle,0.937,927.000,532.500,772,425,310,215,1280,720
330,  bicycle,0.931,949.500,521.500,802,406,295,231,1280,720
331,  bicycle,0.874,976.000,523.500,836,410,280,227,1280,720
332,  bicycle,0.849,997.000,528.500,865,424,264,209,1280,720
333,  bicycle,0.871,1025.000,528.000,899,427,252,202,1280,720
334,  bicycle,0.916,1047.000,528.500,924,426,246,205,1280,720
335,  bicycle,0.795,1069.000,506.000,957,385,224,242,1280,720
336,  bicycle,0.754,1098.000,478.000,982,329,232,298,1280,720
337,  bicycle,0.848,1115.000,498.000,1010,372,210,252,1280,720
338,  bicycle,0.739,1157.000,442.000,1038,267,238,350,1280,720
340,  bicycle,0.651,1181.000,430.000,1087,258,188,344,1280,720
340,  pedestrian,0.571,34.500,398.000,5,327,59,142,1280,720
341,  bicycle,0.658,1177.500,508.500,1099,411,157,195,1280,720
342,  bicycle,0.743,1190.500,504.500,1115,405,151,199,1280,720
343,  pedestrian,0.770,92.500,404.000,62,323,61,162,1280,720
343,  bicycle,0.727,1204.500,502.500,1133,408,143,189,1280,720
344,  bicycle,0.779,1214.000,488.000,1150,388,128,200,1280,720
344,  pedestrian,0.553,118.500,406.500,90,323,57,167,1280,720
345,  bicycle,0.831,1223.500,497.000,1168,406,111,182,1280,720
345,  pedestrian,0.660,157.500,406.500,116,319,83,175,1280,720
346,  pedestrian,0.842,190.000,437.000,147,374,86,126,1280,720
346,  bicycle,0.809,1230.500,495.500,1182,410,97,171,1280,720
347,  pedestrian,0.779,225.500,416.500,175,324,101,185,1280,720
347,  bicycle,0.730,1237.000,500.000,1195,422,84,156,1280,720
348,  pedestrian,0.785,260.000,427.500,205,340,110,175,1280,720
348,  bicycle,0.669,1243.000,488.500,1207,398,72,181,1280,720
349,  pedestrian,0.805,303.500,446.500,244,373,119,147,1280,720
349,  bicycle,0.560,1250.000,491.000,1221,410,58,162,1280,720
350,  pedestrian,0.802,348.000,448.000,288,371,120,154,1280,720
