frame-number,detected-left,detected-right,left-status,right-status
618,1,0,alert,safe
619,0,0,safe,safe
620,0,0,safe,safe
621,0,0,safe,safe
622,0,0,safe,safe
623,0,0,safe,safe
624,1,0,alert,safe
625,1,0,warning,safe
626,1,0,warning,safe
627,0,0,safe,safe
628,1,0,safe,safe
629,1,0,warning,safe
630,0,0,safe,safe
631,1,0,safe,safe
632,1,0,safe,safe
633,1,0,warning,safe
634,1,0,safe,safe
635,1,0,safe,safe
636,1,0,safe,safe
637,1,0,safe,safe
638,1,0,safe,safe
639,1,0,safe,safe
640,1,0,safe,safe
641,1,0,safe,safe
642,1,0,safe,safe
643,1,0,safe,safe
644,1,0,safe,safe
645,1,0,safe,safe
646,1,0,safe,safe
647,1,0,safe,safe
648,1,0,safe,safe
649,1,0,safe,safe
650,1,0,safe,safe
651,1,0,safe,safe
652,1,0,safe,safe
653,1,0,safe,safe
654,1,0,safe,safe
655,1,0,safe,safe
656,1,0,safe,safe
657,1,0,safe,safe
658,1,0,safe,safe
659,1,0,safe,safe
660,1,0,safe,safe
661,1,0,safe,safe
662,1,0,safe,safe
663,1,0,safe,safe
664,1,0,safe,safe
665,1,0,safe,safe
666,1,0,safe,safe
667,1,0,safe,safe
668,1,0,safe,safe
669,1,0,safe,safe
670,1,0,safe,safe
671,1,0,safe,safe
672,1,0,safe,safe
673,1,0,safe,safe
674,1,0,safe,safe
675,1,1,safe,safe
676,1,0,safe,safe
677,1,0,safe,safe
678,1,0,safe,safe
679,1,0,safe,safe
680,1,0,safe,safe
681,1,0,safe,safe
682,1,0,safe,safe
683,1,0,safe,safe
684,1,0,safe,safe
685,1,0,safe,safe
686,1,0,safe,safe
687,1,0,safe,safe
688,1,0,safe,safe
689,1,0,safe,safe
690,1,0,safe,safe
691,1,0,safe,safe
692,1,0,safe,safe
693,1,0,safe,safe
694,1,0,safe,safe
695,1,0,safe,safe
696,1,0,safe,safe
697,1,0,safe,safe
698,1,0,safe,safe
699,1,0,safe,safe
700,1,0,safe,safe
701,1,0,safe,safe
702,1,0,safe,safe
703,1,0,safe,safe
704,1,0,safe,safe
705,1,0,safe,safe
706,1,0,safe,safe
707,1,0,safe,safe
708,1,0,safe,safe
709,1,0,safe,safe
710,1,0,safe,safe
711,1,0,safe,safe
712,1,0,safe,safe
713,1,0,safe,safe
714,1,0,safe,safe
715,1,0,safe,safe
716,1,0,safe,safe
717,1,0,safe,safe
718,1,0,safe,safe
719,1,0,safe,safe
720,1,0,safe,safe
721,1,0,safe,safe
722,1,0,safe,safe
723,1,0,safe,safe
724,1,0,safe,safe
725,1,0,safe,safe
726,1,0,safe,safe
727,1,0,safe,safe
728,1,0,safe,safe
729,1,0,safe,safe
730,1,0,safe,safe
731,1,0,safe,safe
732,1,0,safe,safe
733,1,0,safe,safe
734,1,0,safe,safe
735,1,0,safe,safe
736,1,0,safe,safe
737,1,0,safe,safe
738,1,0,safe,safe
739,1,0,safe,safe
740,1,0,safe,safe
741,1,0,safe,safe
742,1,0,safe,safe
743,1,0,safe,safe
744,1,0,safe,safe
745,1,0,safe,safe
746,1,0,safe,safe
747,1,0,safe,safe
748,1,0,safe,safe
749,1,0,safe,safe
750,1,0,safe,safe
751,1,0,safe,safe
752,1,0,safe,safe
753,1,0,safe,safe
754,1,0,safe,safe
755,1,0,safe,safe
756,1,0,safe,safe
757,1,0,safe,safe
758,1,0,safe,safe
759,1,0,safe,safe
760,1,0,safe,safe
761,1,0,safe,safe
762,1,0,safe,safe
763,1,0,safe,safe
764,1,0,safe,safe
765,1,0,safe,safe
766,1,0,safe,safe
767,1,0,safe,safe
768,1,0,safe,safe
769,1,0,safe,safe
770,1,0,safe,safe
771,1,0,safe,safe
772,1,0,safe,safe
773,1,0,safe,safe
774,1,0,safe,safe
775,1,0,safe,safe
776,1,0,safe,safe
777,1,0,safe,safe
778,1,0,safe,safe
779,1,0,safe,safe
780,1,0,safe,safe
781,1,0,safe,safe
782,1,0,safe,safe
783,1,0,safe,safe
784,1,0,safe,safe
785,1,0,safe,safe
786,1,0,safe,safe
787,1,0,safe,safe
788,1,0,safe,safe
789,1,0,safe,safe
790,1,0,safe,safe
791,0,0,safe,safe
792,1,0,safe,safe
793,1,0,safe,safe
794,1,0,safe,safe
795,1,0,safe,safe
796,1,0,safe,safe
797,1,0,safe,safe
798,1,0,safe,safe
799,1,0,safe,safe
800,1,0,safe,safe
801,1,0,safe,safe
802,1,0,safe,safe
803,1,0,safe,safe
804,1,0,safe,safe
805,1,0,safe,safe
806,1,0,safe,safe
807,1,0,safe,safe
808,1,0,safe,safe
809,1,0,safe,safe
810,1,0,safe,safe
811,1,0,safe,safe
812,1,0,safe,safe
813,1,0,safe,safe
814,1,1,safe,safe
815,1,0,safe,safe
816,1,0,safe,safe
817,1,0,safe,safe
818,1,0,safe,safe
819,1,0,safe,safe
820,1,0,safe,safe
821,1,0,safe,safe
822,1,0,safe,safe
823,1,0,safe,safe
824,1,0,safe,safe
825,1,0,safe,safe
826,1,0,safe,safe
827,1,0,safe,safe
828,1,0,safe,safe
829,1,0,safe,safe
830,1,0,safe,safe
831,1,0,safe,safe
832,1,0,safe,safe
833,1,0,safe,safe
834,1,0,safe,safe
835,1,0,safe,safe
836,1,0,safe,safe
837,1,0,safe,safe
838,1,0,safe,safe
839,1,0,safe,safe
840,1,0,safe,safe
841,1,0,safe,safe
842,1,0,safe,safe
843,1,0,safe,safe
844,1,0,safe,safe
845,1,0,safe,safe
846,1,0,safe,safe
847,1,0,safe,safe
848,1,0,safe,safe
849,1,0,safe,safe
850,1,0,safe,safe
851,1,0,safe,safe
852,1,0,safe,safe
853,1,0,safe,safe
854,1,0,safe,safe
855,1,0,safe,safe
856,1,1,safe,safe
857,1,1,safe,safe
858,1,0,safe,safe
859,1,0,safe,safe
860,1,0,safe,safe
861,1,0,safe,safe
862,1,0,safe,safe
863,1,0,safe,safe
864,1,0,safe,safe
865,1,0,safe,safe
866,1,0,safe,safe
867,1,0,safe,safe
868,1,0,safe,safe
869,1,0,safe,safe
870,1,1,safe,safe
871,1,1,safe,safe
872,1,1,safe,safe
873,1,0,safe,safe
874,1,0,safe,safe
875,1,0,safe,safe
876,1,0,safe,safe
877,1,0,safe,safe
878,1,0,safe,safe
879,1,0,safe,safe
880,1,0,safe,safe
881,1,1,safe,safe
882,1,1,safe,safe
883,1,0,safe,safe
884,1,1,safe,safe
885,1,0,safe,safe
886,1,1,safe,safe
887,1,0,safe,safe
888,1,0,safe,safe
889,1,1,safe,safe
890,1,1,safe,safe
891,1,1,safe,safe
892,1,0,safe,safe
893,1,0,safe,safe
894,1,0,safe,safe
895,1,0,safe,safe
896,1,0,safe,safe
897,1,0,safe,safe
898,1,0,safe,safe
899,1,1,safe,safe
900,1,0,safe,safe
901,1,0,safe,safe
902,1,0,safe,safe
903,1,1,safe,safe
904,1,0,safe,safe
905,1,0,safe,safe
906,1,1,safe,safe
907,1,0,safe,safe
908,1,0,safe,safe
909,1,0,safe,safe
910,1,0,safe,safe
911,1,0,safe,safe
912,1,1,safe,safe
913,1,1,safe,safe
914,1,0,safe,safe
915,1,0,safe,safe
916,1,0,safe,safe
917,1,0,safe,safe
918,1,0,safe,safe
919,1,0,safe,safe
920,1,0,safe,safe
921,1,1,safe,safe
922,1,0,safe,safe
923,1,0,safe,safe
924,1,0,safe,safe
925,1,0,safe,safe
926,1,0,safe,safe
927,1,0,safe,safe
928,1,0,safe,safe
929,1,0,safe,safe
930,1,1,safe,safe
931,1,0,safe,safe
932,1,0,safe,safe
933,1,0,safe,safe
934,1,0,safe,safe
935,1,1,safe,safe
936,1,0,safe,safe
937,1,1,safe,safe
938,1,0,safe,safe
939,1,0,safe,safe
940,1,0,safe,safe
941,1,1,safe,safe
942,1,0,safe,safe
943,1,0,safe,safe
944,1,0,safe,safe
945,1,0,safe,safe
946,1,0,safe,safe
947,1,0,safe,safe
948,1,1,safe,safe
949,1,0,safe,safe
950,1,1,safe,safe
951,1,1,safe,safe
952,1,0,safe,safe
953,1,0,safe,safe
954,1,0,safe,safe
955,1,0,safe,safe
956,1,0,safe,safe
957,1,0,safe,safe
958,1,1,safe,safe
959,1,0,safe,safe
960,1,0,safe,safe
961,1,1,safe,safe
962,1,0,safe,safe
963,1,0,safe,safe
964,1,0,safe,safe
965,1,0,safe,safe
966,1,0,safe,safe
967,1,0,safe,safe
968,1,0,safe,safe
969,1,0,safe,safe
970,1,0,safe,safe
971,1,0,safe,safe
972,1,0,safe,safe
973,1,0,safe,safe
974,1,0,safe,safe
975,1,0,safe,safe
976,1,0,safe,safe
977,1,0,safe,safe
978,1,0,safe,safe
979,1,0,safe,safe
980,1,0,safe,safe
981,1,0,safe,safe
982,1,0,safe,safe
983,1,0,safe,safe
984,1,0,safe,safe
985,1,0,safe,safe
986,1,0,safe,safe
987,1,0,safe,safe
988,1,0,safe,safe
989,1,0,safe,safe
990,1,0,safe,safe
991,1,0,safe,safe
992,1,0,safe,safe
993,1,0,safe,safe
994,1,0,safe,safe
995,1,0,safe,safe
996,1,0,safe,safe
997,1,0,safe,safe
998,1,0,safe,safe
999,1,0,safe,safe
1000,1,0,safe,safe
1001,1,0,safe,safe
1002,1,0,safe,safe
1003,1,0,safe,safe
1004,1,0,safe,safe
1005,1,0,safe,safe
1006,1,0,safe,safe
1007,1,0,safe,safe
1008,1,0,safe,safe
1009,1,0,safe,safe
1010,1,0,safe,safe
1011,1,0,safe,safe
1012,1,0,safe,safe
1013,1,0,safe,safe
1014,1,0,safe,safe
1015,1,0,safe,safe
1016,1,0,safe,safe
1017,1,0,safe,safe
1018,1,0,safe,safe
1019,1,0,safe,safe
1020,1,0,safe,safe
1021,1,0,safe,safe
1022,1,0,safe,safe
1023,1,0,safe,safe
1024,1,0,safe,safe
1025,1,0,safe,safe
1026,1,0,safe,safe
1027,1,0,safe,safe
1028,1,0,safe,safe
1029,1,0,safe,safe
1030,1,0,safe,safe
1031,1,0,safe,safe
1032,1,0,safe,safe
1033,1,0,safe,safe
1034,1,0,safe,safe
1035,1,0,safe,safe
1036,1,0,safe,safe
1037,1,0,safe,safe
1038,1,0,safe,safe
1039,1,0,safe,safe
1040,1,0,safe,safe
1041,1,0,safe,safe
1042,1,0,safe,safe
1043,1,0,safe,safe
1044,1,0,safe,safe
1045,1,0,safe,safe
1046,0,0,safe,safe
1047,0,0,safe,safe
1048,1,0,safe,safe
1049,1,0,safe,safe
1050,0,0,safe,safe
1051,1,0,safe,safe
1052,0,0,safe,safe
1053,0,0,safe,safe
1054,0,0,safe,safe
1055,0,0,safe,safe
1056,0,0,safe,safe
1057,0,0,safe,safe
1058,0,0,safe,safe
1059,0,0,safe,safe
1060,0,0,safe,safe
1061,0,0,safe,safe
1062,0,0,safe,safe
1063,0,0,safe,safe
1064,0,0,safe,safe
1065,0,0,safe,safe
1066,0,0,safe,safe
1067,0,0,safe,safe
1068,0,0,safe,safe
1069,0,0,safe,safe
1070,0,0,safe,safe
1071,0,0,safe,safe
1072,0,0,safe,safe
1073,0,0,safe,safe
1074,0,0,safe,safe
1075,0,0,safe,safe
1076,0,0,safe,safe
1077,0,0,safe,safe
1078,0,0,safe,safe
1079,0,0,safe,safe
1080,0,0,safe,safe
1081,0,0,safe,safe
1082,0,0,safe,safe
1083,0,0,safe,safe
1084,0,0,safe,safe
1085,0,0,safe,safe
1086,0,1,safe,safe
1087,0,0,safe,safe
1088,0,0,safe,safe
1089,0,0,safe,safe
1090,0,0,safe,safe
1091,0,0,safe,safe
1092,0,0,safe,safe
1093,0,0,safe,safe
1094,0,0,safe,safe
1095,0,0,safe,safe
1096,0,0,safe,safe
1097,0,0,safe,safe
1098,0,0,safe,safe
1099,0,0,safe,safe
